web-scraper-order,web-scraper-start-url,Name,Description
"1544977602-107","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 13, Chapter 1","News of the race for Federation President dominated news nets for much of the year. President Nan Bacco declined to run again, stating that while she didn't feel right leaving office during the Romulan crisis, ""I've been here too long. We need new blood and new ideas.""

The popular Bacco didn't endorse a successor, throwing the field open to dozens of potential candidates. Jaed Maz of Trill was frequently mentioned by political commentators, as were Federation Councilors Soron of Vulcan and Kevin Steiner of Terra Nova. Candidates from Bajor, Andoria and Sauria are seen as outside choices.

However, Soron and Charivretha zh'Thane of Andoria never became formal candidates and Steiner abandoned his campaign two months before the election after his ties to the Orion Syndicate were exposed by the Federation News Service. The remaining hopefuls engaged in a fierce campaign in which top issues were aid to the Cardassians and Romulans, the increasing conflicts with the Klingon Empire and whether Starfleet should be expanded to respond to the increasing threats to Federation citizens.

Ultimately, Aennik Okeg of Sauria was elected in a close vote over Jaed Maz, with Bajoran Shad Ona in third place. Okeg, the first Saurian ever to hold the Federation presidency, began his term by offering Maz and Shad places in his cabinet."
"1544977602-8","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 7","Complete the Path to 2409: Volume 7."
"1544977602-1","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409","Complete the Path to 2409"
"1544977602-243","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Last Days of the Dewans: Part Eight","These are our last days. In a few years, decades at the most, my people will be extinct.

Small groups of us have retreated to caves like this, the only places left that are safe from the killing cold that has settled over this planet. But we have limited resources and no way to get more. It will be thousands of years before the surface is safe again. By then it will be too late.

As I write this story in the final days of the Dewan civilization, I am struck by how similar our situation is to our ancestors. They took, suffered through great hardship. But unlike us, they found a way to survive.

If anyone finds this record, remember us. Once we lived and loved on this planet. We raised children and mourned our dead. We created a great civilization and destroyed it through our mistakes.

We existed."
"1544977602-66","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 7, Chapter 3","On Stardate 63322.55, Rehaek, leader of the Tal Shiar, sent a statement to the praetor and the leaders of the Romulan Senate with the conclusions of his investigation into the assassination of Praetor Tal'aura. Rehaek ruled that Tal'aura was killed by agents loyal to a coalition of noble houses angered by her reformation of the Senate.

Both Donatra and Sela requested to see the evidence that backed up his claims, but Rehaek refused to divulge his complete findings.

In retaliation for the death of Tal'aura, the Tal Shiar began a campaign of assaults on the noble houses, arresting dozens of nobles and seizing their assets. Sela pushed back against the persecution of her major supporters, and in response swayed the Senate to drastically cut funding to the Tal Shiar.

In a speech before the Senate, Sela accused elements inside the Tal Shiar of knowing about the plot to assassinate Tal'aura but doing nothing to stop it. ""Does standing silent make them as culpable as the killers?"" Sela asked. ""In abandoning their sworn duty to protect the praetor, as a symbol of Romulus itself, they are no better than those who wielded the knives that killed her.""

Donatra refused to take sides in the conflict between Sela and Rehaek, and instead encouraged the praetor to handle the situation. Praetor Chulan appointed a Senate committee to formally investigate the matter, but the committee took little action."
"1544977602-184","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 26, Chapter 6","On Stardate 82626.64, the Gorn entered the war on the side of the Klingon Empire. A Gorn fleet launched an invasion of Sherman's Planet that was easily turned away by Federation forces at Deep Space K-7.

""I think the Gorn were testing us,"" said station commander Captain Shir th'Talias. ""Now they know that we're ready for a fight."""
"1544977602-76","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 8, Chapter 5","On Stardate 64333.4, a Romulan Mining Guild ship observed the start of a chain of events that would forever change the Alpha and Beta Quadrants. The star in the Hobus system, in the far reaches of Romulan space, began to exhibit massive fluxuations in radiation output. Days later, Ambassador Spock of the Federation appeared before the Romulan Senate to warn them about the dangers of this star.

Spock believed that if the Hobus star went supernova, it would create a reaction that could threaten much of the Romulan Empire. He asked the Senate to coordinate with Vulcan to find a solution. After a lengthy debate, the Senate rejected Spock's plan.

Ambassador Spock returned to Vulcan, where he met with Ambassador Jean-Luc Picard. The two appealed to the Vulcan Science Academy to assist the Romulans with the crisis in the Hobus system, but the academy declined their request without comment. The two former Starfleet officers decided that they would make their own plans to deal with the situation."
"1544977602-208","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 2, Chapter 2","At first the gateways's discovery was a revelation. If the Dewan scientists were correct, the gateway could transport a person through time and space in an instant. Who needed space ships?

The Dewans abandonend their efforts to build new ships and devoted all of their attention to the gateway. It took decades of study and effort, but eventually the Dewans were ready to reactivate it. All it needed was power.

Like the Iconians of old, the Dewans chose to use geothermal energy. What they didn't realize wa the seismic instability created by the bombardment made tapping the planet's core extremly dangerous."
"1544977602-235","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Last Days of the Dewans","Scan the Dewan monuments to learn their history."
"1544977602-178","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 25, Chapter 4","The Romulan Star Empire was enjoying a time of peace that it hadn't seen since the destruction of the Romulan homeworld almost two decades before. Praetor Sela settled long-simmering disputes between colony worlds, opened the Romulus memorial at the remains of the homeworld, and gently shaped the Senate to her way of thinking.

""She's using a little bit of blackmail, a dose of charm and a lot of guile,"" said a Starfleet Intelligence operative on Nova Roma. ""But Romulus hasn't had a leader who can pull people together like she can since Donatra disappeared."""
"1544977602-174","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 24, Chapter 7","Velal and Sela landed in Nova Roma while the search for Praetor Taris was still ongoing, and proceeded directly to the Romulan Senate.

""Sela made a very pretty speech about how she was a loyal Romulan and a friend to the Senate, and not once did she mention the dozens of Warbirds she had in orbit over their heads,"" said Mira Mandel of the Federation News Service. ""No one was surprised when the Senators tripped over themselves to offer her their fealty.""

The Senate named Sela as praetor and General Velal as the leader of the Romulan fleet by acclamation. The reign of Praetor Taris was over."
"1544977602-129","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 16, Chapter 5","A strange incident was reported on the Klingon world of Rha'darus. While on shore leave from his duties on the I.K.S. Kang, Ja'rod, son of Torg, was ambushed by three Klingon warriors. He managed to kill two of them and brought the third back to his ship.

Expecting the attack to be from an enemy of the House of Duras, Ja'rod was shocked to discover that his attackers weren't Klingon at all! Application of a painstik forced the captive to change and its shape morphed from a Klingon to that of a strange tripedal alien.

Under questioning by Ja'rod and members of the Kang's crew, the alien revealed that it was a member of a species known by its Borg designation of Species 8472. The alien called itself an Undine, and revealed that not only was its party specifically sent to Rha'darus to capture Ja'rod and replace him, this was not the first time the Undine have done so.

There were Undine infiltrators in every major political entity of the Alpha and Beta quadrants."
"1544977602-181","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 26, Chapter 3","The Klingons gained more support when a coalition of Nausicaan tribes signed a non-aggression pact with the Empire. Nausicaans who chose to swear fealty to the Klingon Empire were permitted to join the Klingon Defense Force and own property in the Empire.

""King Slathis of the Gorn should get the credit for bringing the Nausicaans into the Empire,"" said Tag Morkek of the Tellar News Service. ""I think he sees the potential in a group of like-minded species ... like the Federation.""

Observers of Klingon politics noted a development that could change affairs on Qo'noS when General Worf agreed to be gin'tak for Drax, son of Martok.

Worf has taken the title given to him by his old friend Martok, and now he will advice Martok's son on how to run his house,"" said an anonymous report. ""Worf's skill in battle and politics could be just what the House of Martok needs to take a leading role in the Empire again."""
"1544977602-51","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 5, Chapter 1","Federation analysts said that a shakeup in the Romulan power structure left the empire vulnerable to attack from within and without. Starfleet dispatched additional ships to the border of the Neutral Zone and considered the Romulan situation one of the main threats to Federation safety and security.

After Tomalak's defeat by Donatra and her fleet, Praetor Tal'aura removed him as proconsul, choosing Sela as her right hand and fleet commander. Sela, a human-Romulan hybrid with extensive experience in the military and intelligence fields, was a part of several major Romulan operations, including a failed a attempt to invade Vulcan and coordinating support for the House of Duras's attempt to take over the Klingon High Council in 2367. As a gift to Tomalak for his decades of loyal service to the Romulan Star Empire, Tal'aura allowed him to ""retire"" to his rural estates on Romulus."
"1544977602-149","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 20, Chapter 4","President Aennik Okeg announced plans to travel to Qo'noS to meet with Chancellor J'mpok to try to find a peaceful solution to the Klingons' conflict with the Gorn. However, before he could depart Paris, the I.K.S. Kang returned to Qo'noS.

Captain Ja'rod met in a closed session with J'mpok and the High Council for more than seven hours. Reports indicated that Ja'rod revealed the details of his investigation into the Undine presence in the Gorn Hegemony to the Council, and that the infiltration went much deeper than previously believed.

A day later, J'mpok, with the full backing of the High Council, ordered an invasion of the Gorn Hegemony. ""No more waiting. No more talking. We are Klingon, and we will protect the Alpha Quadrant from these qa'meH quv - these replacers of honor with dishonor. We attack!""

A combined Klingon and Orion fleet stormed across the border into the Gorn Hegemony. The ships clashed with Gorn and Nausicaan forces in multiple systems, and the simmering conflict flared into open warfare."
"1544977602-115","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 14, Chapter 4","Happier news for the Federation was the formal admission of Bajor and Tama Prime as full members. The long process of acclimating the planets' economies and populations to life in the Federation began with a few bumps, although this process was eased somewhat in Bajor's case because of the close ties between Bajor and the Federation since the end of the Cardassian occupation in 2369.

One notable exception to the financial conversion was Quark's Bar, Grill, Gaming House, Holosuite Arcade, Gift Shop and Embassy on Deep Space 9. As a formal embassy for the Ferengi Alliance, it was business as usual at Quark's. Being the best place for free trade in the Bajor Sector brought a significant increase in traffic to Quark's, and the owner was said to be in the market for a moon.

In one of their first ventures as Federation citizens, the Children of Tama worked with Starfleet to open a new linguistic research facility on El-Adrel IV. ""Dathon and Picard, at El-Adrel. Picard, his heart open,"" said Co-director Meltha at the facility's dedication."
"1544977602-159","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 22, Chapter 4","The combined Gorn and Nausicaan forces were holding steady, but analysts believed that the Klingons would eventually be able to break through their lines and attack the core worlds of the Gorn Hegemony.

""it's a stalemate right now, but Gila IV showed us that the Gorn simply don't have enough soldiers and ships to repel the Klingons forever,"" said Apela Luss of the Federation News Network.

While the official Federation position was non-interference, not everyone in Starfleet agreed. On Stardate 78733.25, Captain Zachary MacAllister ignored a direct order from Starfleet Command and attempted to take the U.S.S. Lindberg into Gorn space.

""He wanted to help the Gorn,"" reported Ensign E'swa D'rex. ""Captain MacAllister kept saying that when the Klingons were through withthe Gorn, they'd attack the Federation next. And that we had to stop them before that could happen.""

After a tense three days traveling through a war zone, the Lindberg was confronted by a Klingon patrol. MacAllister ordered his crew to open fire, but instead the first officer and chief medical officer attempted to remove MacAllister from duty and surrender the ship. There was a running firefight through the ship, as MacAllister and a few supporters attempted to escape capture.

MacAllister made it to a shuttle bay and escaped. He is still a fugitive."
"1544977602-118","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 14, Chapter 7","In Romulan space, the Romulan Colonial Organization Committee continued the work of forming a new Romulan government. Several legislative sessions were interrupted by arguments between Admiral Taris and General Tebok about what the role of the Romulan military should be in the new regime.

Tebok swayed a portion of the RCOC with his argument that far-flung areas of the Empire, particularly the areas near Klingon space, could and should be sacrificed in the short-term to strengthen the position of what are now the Romulan core worlds, but Taris countered that it was the duty of the Romulan fleet to keep fighting for every world.

The debate took up much of the later part of the year for the RCOC, but no decision was reached."
"1544977602-26","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 25","Complete the Path to 2409: Volume 25."
"1544977602-150","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 20, Chapter 5","After the Klingon Empire invaded Gorn space, J'mpok sent a message to President Aennik Okeg, asking for Federation assistance as spelled out in the Khitomer Accords. In response, the Federation Council condemned the invasion and demanded that the Klingons withdraw from Gorn space and return to the negotiating table.

""This is not the first time that the Klingons have acted rashly,"" said Councilor Astoni-Yhard of Grazer. ""For all we know, they're chasing shadows. What reason would these 'Undine' have for being here now?""

The Klingon response was swift. In a tersely worded message, J'mpok pulled the Klingon Empire out of the Khitomer Accords and recalled all Klingon ambassadors back to Qo'noS.

""Chancellor J'mpok's decision is regrettable,"" Okeg said. ""However, it is his to make. We will continue to do all we can to repair our relationship wiht our longtime friends in the Klingon Empire."""
"1544977602-198","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 1","Complete the History of New Romulus: Volume 1."
"1544977602-188","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 27, Chapter 4","In one Starfleet promotion of note, Admiral Chakotay was named the new head of Starfleet Intelligence. Chakotay promised to bring more openness and accountability to what traditionally had been a very reclusive post.

In one of the Admiral's first briefings to Starfleet Command, he laid out what he saw as the current Undine situation in the Federation. Chakotay admitted that Starfleet Intelligence believed that there were at least 30 Undine infiltrators in Starfleet or high-level Federation posts.

""We're in trouble,"" Chakotay said. ""There could be an Undine in this room, and we wouldn't know.""

While Starfleet Intelligence did not have a foolproof method of detecting Undine in humanoid form, it was working on new technology to make this more feasible."
"1544977602-183","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 26, Chapter 5","Buoyed by early victories against the Klingons and the Ferengi technology and trade agreements, Federation President Aennik Okeg sailed to an easy victory for his third term.

""Why change now?"" asked Rosa Oliver, a geologist working for Janus Mining. ""He seems to be doing a good job."""
"1544977602-228","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 6, Chapter 1","When I look over these entries, it is like reading the letters of a long-dead friend. I do not entirely recognize the person I once was.

Saken is still in my heart, even thogh his katra is gone. I treasure his life. It is better than dwelling on his death.

Most of my time is spent focusing on the future of my people. I'm putting my teaching training to use as part of a group that is creating a new culture. We're even working on a new language. It uses an archaic form of Vulcan as the base, but there is little else left to tie it to our past.

It has been more than twenty years since the ships left Vulcan. If we truly want to be our own people, we cannot cling to the ways of the past. No more rituals, no more religion, no more koon-ut-kal-if-fee. Our biologists are even working on a way to purge us of the blood fever.

Our future is somewhere in the stars."
"1544977602-217","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 4, Chapter 5","HISTORY TEXT GOES HERE[sic]"
"1544977602-49","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 4, Chapter 4","In 2383, the Klingon Empire and the United Federation of Planets were at odds over the Klingon takeover of Khitomer. In a narrow vote, the Federation Council decided not to formally censure the Empire for its military action. However, the fact that the matter went to the full Council for a vote is enough of an affront for Qo'noS to temporarily recall its ambassador to the Federation.

Hardliners on the Klingon High Council demanded that Martok eject Federation ambassadors from Klingon space. Martok refused to do so, and then defeated Councilor Qolka in a duel of honor after he accused Martok of being a ""pet desperate for the approval of his Starfleet masters."""
"1544977602-57","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 6, Chapter 1","In 2385, Starfleet Command announced that it had completed a re-evaluation of all post-Dominion War assets and resources. Based on the results, the admirals had decided to refocus some ships that have been assigned to defense and diplomacy to exploration and scientific discovery.

Among the ships that were assigned to new duties was the U.S.S. Enterprise-E. ""The flagship of Starfleet is not a warship,"" said Commander Marie Durant a spokesperson for Starfleet Command. ""The Enterprise and her crew are the pinnacle of Federation achievement. We need them out on the edge of explored space, making new contacts and reaching out in friendship to races across the Galaxy."" The Enterprise's final mission before returning to Earth for reassignment was to assist the population of Khitomer.

On Stardate 62230.13, the Klingon Empire announced it was expelling all non-Klingon residents of the planet as a ""safety measure."" It gave the residents 14 standard days to leave the planet, but Chancellor Martok later agreed to extend the deadline after speaking to Captain Jean-Luc Picard. The Enterprise-E led a contingent of ships to Khitomer, assisted in the evacuation, and the former residents were safely resettled on Federation worlds."
"1544977602-13","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 12","Complete the Path to 2409: Volume 12."
"1544977602-120","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 15, Chapter 2","On Stardate 71283.12, Melani D'ian met Chancellor J'mpok in person on Ter'jas Mor. After four days of negotiations, the two agreed to sign a non-aggression and mutual defense pact.

In exchange for the Orion Syndicate's allegiance, the Klingon Empire agreed to provvide them with ships and weapons. In addition, Melani D'ian further agreed to share technology and information with the Klingons in exchange for a planet in Klingon space that the Orions could rule as a vassal state.

""Having access to the Syndicate information network could be a huge advantage for the Empire,"" said Tag Morkek  of the Tellar News Service. ""Klingon Intelligence is good, but they're not everywhere like the Syndicate is.""

As a gift to celebrate their new alliance, Melani sent 1,500 Orion women to be servants in the Great Houses on Qo'noS. melani herself settled into an estate on Tar'jas Mor, and the remaining Orions still on the Orion homeworld made plans to emigrate by the end of 2394."
"1544977602-213","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 4, Chapter 1","Today starts the fifth year of life on the ships. It's also my fourteenth birthday. Mother gave me this recording device and said that I should keep a record of our travels, so that my children would know what life was like on the ships.

It's terrible here. We keep the ships cold to conserve power, there's never enough to eat and the environmental scrubbers can't keep up with the strain, so the air always smells.

Worst of all, there's nothing to do. Mother teaches us our lessons, and Father tells us stories about our clan and its great heroes. But they both work all the time, so mostly it's just me and Thel."
"1544977602-220","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 5, Chapter 1","I found my old data recorder the other day. It's so strange to read about the things I thought were important back then - food and boredom and the people we left behind on Vulcan.

We've been on the ships for eleven years now. I don't dream about Vulcan anymore. The ship is all there is. It's still cold, still miserable ... but we have even less food now than we did before. We lost three hydrophonics bays a year ago to a breach. Now that entire section is closed off.

The ships weren't designed to be in continued use for this long, and things break. Hull plating wears out. People die.

Mother still tells Thel everything will work out, and that the next world we visit my be the one. Our forever home.

She used to tell me the same stories too."
"1544977602-201","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 4","Complete the History of New Romulus: Volume 4."
"1544977602-77","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 8, Chapter 6","After the close of the Romulan Senate's session, Donatra accepted an invitation from Colonel Xiomek to visit Crateris and inspect the construction of the new Reman colony. Their flight path allowed them to perform a sensor sweep of the Hobus system.

After arriving on Crateris, Donatra and Xiomek spent several hours in a private meeting, where it is believed that Xiomek gave Donatra information about possible rogue elements within the Romulan military and government.

Donatra decided to return to Romulus earlier than planned, and invited Xiomek to take passage on her ship, the I.R.W. Valdore, so he could be in Ki Baratan for the next meeting of the Romulan Senate where the Senate would once again take up the Hobus situation.

On the way back to Romulus, Donatra contacted Admiral Taris, who was in the Levaeri system, and ordered her to return to Romulus. The message was recorded by Romulan military communications relay stations, but Taris did not change course. A later review found that there was no evidence of the message in the computer banks of Taris's ship, and that the communications officer who would have been on duty during that time could not be found.

On Stardate 64444.5, the I.R.W. Valdore reported unusual stellar activity, including a disturbance equivalent to a force seven ion storm. Romulus lost contact with Donatra's ship after the transmission, and dispatched four D'deridex class vessels to search for the Valdore."
"1544977602-165","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 23, Chapter 4","On Stardate 79231.20, Ambassador Jean-Luc Picard retired from his position as Federation ambassador to Vulcan. Reports said that Picard would settle in France.

""We honor Ambassador Picard for his many years of service to the Federation,"" said Sokketh of Vulcan, who resigned his seat on the Federation Council to take up the role Picard vacated. ""He has always been a friend to Vulcan.""

Two months later, Admiral Beverly Crusher settled in on Earth as the head of Starfleet Medical."
"1544977602-186","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 27, Chapter 2","One thing that was expected to help Starfleet was an advance in power cell technology developed by the research teams at Memory Alpha. The new cells made personal shield generators feasible for Starfleet officers on away teams.

""This new technology will keep our officers safe,"" said Starfleet spokesperson Loris Brex. ""It is just one example of what the Federation can do. There is no problem that we cannot solve.""

The first shield generators were issued to special teams on ground assaults in the Archanis Sector. Once the technology was adequately tested, Starfleet expected to provide it to all of its members. Three companies announced that they were working on variations of the technology for commercial use.

""Forget the shields, give us the power cells,"" said Soong Foundation researcher Alexander Baker. ""If we had access to the cell technology now, it could cut months of our timetable to release a mobile emitter for holographic lifeforms who aren't in Starfleet."""
"1544977602-22","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 21","Complete the Path to 2409: Volume 21."
"1544977602-4","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 3","Complete the Path to 2409: Volume 3."
"1544977602-171","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 24, Chapter 4","Hardliners on the Klingon High Council wanted King Slathis and his family executed to prevent the Gorn royal family from becoming a focus for revolutionaries. ""We've conquered them. Now we need to rule them,"" Councilor Marab said. ""There cannot be a king in our Empire.""

After much deliberation, Chancellor J'mpok decided to offer the Gorn self-rule, as long as they swore fealty to the Klingon Empire. Slathis agreed, and as part of the settlement he was given a non-voting seat on the Klingon High Council. The KDF Fifth Fleet then withdraw from Gorn space.

""The Klingons have wooed the Orions. They've conquered the Gorn. Races like the Nausicaans are seeing the writing on the wall,"" said Tag Morkek of the Tellar News Service. ""The Federation has real competition in the coalition-building business."""
"1544977602-223","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 5, Chapter 4","Saken and I have been spending more time together. meals, sharing books, games of kal-toh on the recreation deck. At first it was nice to have a new friend, but now I'm starting to feel more for him.

That's supposed to be a good thing. We left Vulcan so our hearts could be free. So we could love as we wished and not see our emotions as a burden. There is nothing logical about love, but it is something I would not want to live without.

I find it's easier to put my feelings here than it is to put them into words when I'm with Saken. I can only hope that he feels the same way."
"1544977602-202","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 5","Complete the History of New Romulus: Volume 5."
"1544977602-40","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 3, Chapter 2","Seeking to stabilize the homeworld, Tal'aura agreed to reform the Romulan Senate. A reorganization commission selected by Tal'aura voted to allow her to appoint senators directly rather than holding elections, and she packed the Senate with her supporters.

Leaders of the Romulan-Vulcan Unification movement petitioned Tal'aura for representation in the Senate for themselves and the Remans, but Tal'aura declined to respond to their request.

The makeup of the Romulan Senate angered Romulan nobles, who dominated the Senate prior to Shinzon's takeover but held only a handful of seats after the reorganization. Representatives of several of the noble lines argued that for centuries the Romulan Senate has been a partner with the praetor in governing the empire, something that a weakened body beholden to Tal'aura could not be.

The Line of Tellus denounced Tal'aura and withdrew its members from government service."
"1544977602-19","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 18","Complete the Path to 2409: Volume 18."
"1544977602-155","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 21, Chapter 4","On Nova Roma, Praetor Taris clashed yet again with the Romulan Senate over a plan to further restrict the powers of the praetor. Taris made a rare personal appearance before the Senate to argue against the proposal.

""In the absence of a monarch, and at a time of extreme upheaval in the Alpha and Beta quadrants,"" Taris said, ""We must have one voice to speak for our empire to the galaxy. Only by expanding the praetor's powers will we have stability and strength. A disharmonious chorus leads to chaos.""

Taris swayed some Senators to her side, but her general unpopularity with the Romulan populace doomed her call for expanding executive powers. The Senate proceeded with its plan to limit the power of the praetor.

In another possible problem for Taris, agents for Starfleet Intelligence intercepted and decoded several messages from Nova Roma to a planet deep in the Beta Quadrant. These messages pointed out irregularities in the reports about the death of General Tebok and the destruction of the I.R.W. Alth'lndor. Starfleet Intelligence agents reported that Sela had ordered her spies to investigate and find the truth of the matter."
"1544977602-93","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 11, Chapter 2","The tensions between the Gorn and the Klingon Empire, as well as increasing Nausicaan activity in the region, put Starfleet in a position of having to balance the need for defense with the Federation's deteriorating relationship with the Klingons.

Assigning more starships to the border of Klingon space would be seen as a hostile act by the hardliners on the Klingon High Council, and tensions were already high because of the ships that Starfleet was using to reinforce the Romulan border with the Klingon Empire.

The best-case scenario for the Federation, analysts agreed, is if the Klingon and Gorn could find a peaceful solution before the conflict has a chance to engulf nearby worlds. To this end, the Federation offered to mediate talks between the Gorn and the Klingons at a neutral location.

Neither party was overeager to accept ""human"" meddling in a personal dispute and preliminary talks to hash out the details of the peace conference dragged on for weeks. The process came to an abrupt halt when Chancellor Martok announced that the Klingons would not participate in any negotiations until Starfleet withdrew all of its ships from the Romulan-Klingon border."
"1544977602-112","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 14, Chapter 1","The rapid rise of a new chancellor for the Klingon High Council threw the Empire's relations with the Federation and other major powers into doubt.

""Whether you loved or hated Martok, he was a known quantity,"" said Starfleet spokesperson Commander Marie Durant. ""We simply don't know enough about J'mpok.""

Strained relations between the Federation and the Klingon Empire made gathering detailed information about the political situation on Qo'noS difficult.

The task was complicated by the fact that one of J'mpok's first acts was to bar the Federation's ambassador from the Great Hall. Ambassador Worf was a member of the House of Martok and one of Martok's staunchest supporters.

What was known is that tensions rose between Martok and J'mpok for some time. J'mpok and his followers on the council accused Martok of being a weak leader and a puppet for Federation interests. They questioned his close ties to Worf, as well as Martok's willingness to negotiate with the Gorn.

In return, Martok's supporters accused J'mpok of acting dishonorably and undermining the actions of Martok and the Klingon Defense Force during a time of war."
"1544977602-58","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 6, Chapter 2","The U.S.S. Enterprise-E's mission to Khitomer was the last for its legendary captain as well. After a personal request from the president of the Federation and a great deal of personal reflection, Captain Jean-Luc Picard resigned his commission with Starfleet. After a three-month sabbatical in France, Picard took his place as the Federation ambassador to Vulcan.

He was not the only senior staff member of the Enterprise who moved on to other projects. Chief Medical Officer Beverly Crusher accepted the position of captain of the U.S.S. Pasteur, an Olympic-class ship. Her first task was to assist efforts to rebuild hospitals and medical facilities on Cardassia Prime.

And Worf, son of Mogh, also resigned his commission to Starfleet. Worf believed that with the recent strains in relations between the Federation and the Klingons, he would best be of service in a diplomatic role. He returned to Qo'noS to take up the post of lead ambassador, and a few months later began a tentative relationship with Grilka, the leader of a Klingon noble house whom he met while serving on Deep Space Nine.

With much of the senior staff gone and its role in flux, the Enterprise-E was assigned to the shipyards of Utopia Planitia for an extensive refit. The Starfleet Corps of Engineers reported that the refit would take at least a year to complete because they planned to use the ship as a testing ground for new technology. Among the new equipment installed on the Enterprise-E was an advanced sensor array first tested on Luna-class starships."
"1544977602-90","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 10, Chapter 5","Federation President Nanietta Bacco focused on smoothing relations between Vulcan and other worlds of the Federation. She and Ambassador Jean-Luc Picard did much to soothe the wounds caused by the revelation that the Vulcans may have known about the threat of the Hobus supernova.

On Stardate 66839.72, the Federation Council announced the results into an investigation of the Hobus supernova and the Vulcan Science Academy's research into red matter manipulation. The council decided that the Vulcans may not have realized the full extent of the threat of the Hobus supernova, as the explosion was greater and more violent than any supernova previously recorded. In addition, the chain reaction of the detonation could not have been predicted, and the council recommended that the event be studied further.

However, the council criticized the Vulcan Science Academy for creating red matter without consulting or informing Federation authorities. In a speech before the Federation Council, Councilor T'Los of Vulcan expressed regret if any of the actions or inactions of her people caused harm to the Federation.

She announced that all of the academy's red matter was on board the Jellyfish when it disappeared, and that the Vulcan Science Academy pledged to do no further red matter manipulation research without the full knowledge and cooperation of the Federation Science Council.

To the Romulans, she directed a single statement: ""We grieve with thee.""

At the end of her address, T'Los said that was only logical to change who speaks for Vulcan, as the past year made it clear that she was inadequate to the task. She resigned from the Federation Council and returned home."
